seq_id	rank1	rank2	rank3	rank4	rank5	rank6	rank7	rank8	rank9	rank10	rank11	rank12	rank13	rank14	rank15	rank16	rank17	rank18	rank19	rank20	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode	Matched
AB426093__Aetideopsis_multiserrata	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Aetideidae	Aetideidae	Aetideopsis	Aetideopsis	Aetideopsis_multiserrata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
AB426096__Amallothrix_valida	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Scolecitrichidae	Scolecitrichidae	Amallothrix	Amallothrix	Amallothrix_valida	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
KF667526__Amphiascoides_atopus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Podoplea	Harpacticoida	Harpacticoida	Harpacticoida	Harpacticoida	Miraciidae	Diosaccinae	Amphiascoides	Amphiascoides	Amphiascoides_atopus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
NC_023783__Amphiascoides_atopus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Podoplea	Harpacticoida	Harpacticoida	Harpacticoida	Harpacticoida	Miraciidae	Diosaccinae	Amphiascoides	Amphiascoides	Amphiascoides_atopus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
MG001887__Calanus_finmarchicus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Calanidae	Calanidae	Calanus	Calanus	Calanus_finmarchicus	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.46866666666667	5	1	Free	Omnivore-Herbivore	Current	TRUE
MG001883__Calanus_glacialis	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Calanidae	Calanidae	Calanus	Calanus	Calanus_glacialis	Copepoda	Calanoida	Calanidae	Calanus	FG6	4.65090909090909	6	1	Free	Omnivore-Herbivore	Current	TRUE
JX678968__Calanus_hyperboreus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Calanidae	Calanidae	Calanus	Calanus	Calanus_hyperboreus	Copepoda	Calanoida	Calanidae	Calanus	FG6	8.07285714285714	10	1	Free	Omnivore-Herbivore	Current	TRUE
NC_019627__Calanus_hyperboreus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Calanidae	Calanidae	Calanus	Calanus	Calanus_hyperboreus	Copepoda	Calanoida	Calanidae	Calanus	FG6	8.07285714285714	10	1	Free	Omnivore-Herbivore	Current	TRUE
AB426065__Calanus_pacificus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Calanidae	Calanidae	Calanus	Calanus	Calanus_pacificus	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.248	5.3	1	Free	Omnivore-Herbivore	Current	TRUE
AB426066__Calanus_sinicus	Animalia	Animalia	Animalia	Arthropoda	Crustacea	Crustacea	Multicrustacea	Copepoda	Copepoda	Neocopepoda	Gymnoplea	Calanoida	Calanoida	Calanoida	Calanoida	Calanidae	Calanidae	Calanus	Calanus	Calanus_sinicus	Copepoda	Calanoida	Calanidae	Calanus	FG7	2.818	3.6	1	Free	Omnivore-Herbivore	Current	TRUE
