Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Acartia_bifilosa	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.00215384615385	1.25	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_fossae	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.145	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_spinata	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.171	1.24	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_tonsa	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.20307692307692	1.5	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_tumida	Copepoda	Calanoida	Acartiidae	Acartia	FG11	2.175	2.7	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_danae	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.17297058823529	1.34	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_negligens	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.18410256410256	2.07	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_clausii	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.07475862068966	1.47	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_clausi	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.07475862068966	1.47	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_ensifera	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.01125	1.25	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_hudsonica	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.0228	1.32	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_longiremis	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.11777272727273	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_omorii	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.1075	1.3	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_simplex	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.0275	1.18	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_tranteri	Copepoda	Calanoida	Acartiidae	Acartia	NA	NA	NA	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_amboinensis	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.41166666666667	1.47	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_australis	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.3325	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_erythraea	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.311	1.5	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_lilljeborgi	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.37666666666667	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_pacifica	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.2146	1.35	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_sp	Copepoda	Calanoida	Acartiidae	Acartia	NA	NA	NA	0	Free	Omnivore-Herbivore	Current-Ambush
Acrocalanus_gibber	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	1.02111111111111	1.28	1	Free	Omnivore-Herbivore	Current
Acrocalanus_gracilis	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	1.23769230769231	1.8	1	Free	Omnivore-Herbivore	Current
Acrocalanus_longicornis	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	1.19566666666667	1.55	1	Free	Omnivore-Herbivore	Current
Acrocalanus_monachus	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	0.971764705882353	1.1	1	Free	Omnivore-Herbivore	Current
Aegisthus_mucronatus	Copepoda	Harpacticoida	Aegisthidae	Aegisthus	NA	2.082	2.6	0	Sac	NA	NA
Aetideopsis_armatus	Copepoda	Calanoida	Aetideidae	Aetideopsis	FG8	3.54461538461538	4.5	1	Free	Omnivore-Carnivore	NA
Aetideopsis_minor	Copepoda	Calanoida	Aetideidae	Aetideopsis	FG8	3.12	3.9	1	Sac	Omnivore-Carnivore	NA
Aetideopsis_rostrata	Copepoda	Calanoida	Aetideidae	Aetideopsis	FG8	3.72947368421053	4.6	1	Free	Omnivore-Carnivore	NA
Aetideus_acutus	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	1.65484848484848	1.8	1	Free	Omnivore-Carnivore	Ambush
Aetideus_armatus	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	1.81119047619048	2.25	1	Free	Omnivore-Carnivore	Ambush
Aetideus_giesbrechti	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	1.94861111111111	2.2	1	Free	Omnivore-Carnivore	Ambush
Aetideus_pacificus	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	2.3325	3	1	Free	Omnivore-Carnivore	Ambush
Agetus_flaccus	Copepoda	Cyclopoida	Corycaeidae	Agetus	FG4	1.675	1.89	0	Sac	Carnivore	Ambush
Agetus_limbatus	Copepoda	Cyclopoida	Corycaeidae	Agetus	FG4	1.42066666666667	1.64	0	Sac	Carnivore	Ambush
Agetus_typicus	Copepoda	Cyclopoida	Corycaeidae	Agetus	FG4	1.59677419354839	1.8	0	Sac	Carnivore	Ambush
Amallothrix_dentipes	Copepoda	Calanoida	Scolecitrichidae	Amallothrix	FG3	2.6175	2.84	1	Free	Omnivore-Detritivore	NA
Amallothrix_propinqua	Copepoda	Calanoida	Scolecitrichidae	Amallothrix	FG3	3.19	3.4	1	Free	Omnivore-Detritivore	NA
Amallothrix_tenuiserrata	Copepoda	Calanoida	Scolecitrichidae	Amallothrix	FG3	1.1045	1.22	0	Free	Omnivore-Detritivore	Current
Anomalocera_patersoni	Copepoda	Calanoida	Pontellidae	Anomalocera	FG9	3.541875	4.1	0	Free	Omnivore	Current
Arietellus_setosus	Copepoda	Calanoida	Arietellidae	Arietellus	FG8	4.80181818181818	5.5	0	Sac	Omnivore-Carnivore	NA
Atrophia_glacialis	Copepoda	Cyclopoida	Lubbockiidae	Atrophia	NA	1.77714285714286	2.45	0	Sac	NA	NA
