Species_Name	Taxonomic group	Definition
Amphidinium_carterae	Amphidiniales	HAB
Amphidinium_gibbosum	Amphidiniales	HAB
Amphidinium_magnum	Amphidiniales	HAB
Amphidinium_massartii	Amphidiniales	HAB
Amphidinium_pseudomassartii	Amphidiniales	HAB
Amphidinium_tomasii	Amphidiniales	HAB
Dinophysis_acuminata	Dinophysales	HAB
Dinophysis_acuta	Dinophysales	HAB
Dinophysis_caudata	Dinophysales	HAB
Dinophysis_fortii	Dinophysales	HAB
Dinophysis_infundibulum	Dinophysales	HAB
Dinophysis_miles	Dinophysales	HAB
Dinophysis_norvegica	Dinophysales	HAB
Dinophysis_ovum	Dinophysales	HAB
Dinophysis_sacculus	Dinophysales	HAB
Dinophysis_tripos	Dinophysales	HAB
Phalacroma_mitra	Dinophysales	HAB
Phalacroma_rotundatum	Dinophysales	HAB
Alexandrium_affine	Gonyaulacales	HAB
Alexandrium_andersonii	Gonyaulacales	HAB
Alexandrium_australiense	Gonyaulacales	HAB
Alexandrium_balechii	Gonyaulacales	HAB
Alexandrium_catenella	Gonyaulacales	HAB
Alexandrium_fragae	Gonyaulacales	HAB
Alexandrium_hiranoi	Gonyaulacales	HAB
Alexandrium_leei	Gonyaulacales	HAB
Alexandrium_limii	Gonyaulacales	HAB
Alexandrium_minutum	Gonyaulacales	HAB
Alexandrium_monilatum	Gonyaulacales	HAB
Alexandrium_ogatae	Gonyaulacales	HAB
Alexandrium_ostenfeldii	Gonyaulacales	HAB
Alexandrium_pacificum	Gonyaulacales	HAB
Alexandrium_pseudogonyaulax	Gonyaulacales	HAB
Alexandrium_tamarense	Gonyaulacales	HAB
Alexandrium_tamiyavanichii	Gonyaulacales	HAB
Alexandrium_taylorii	Gonyaulacales	HAB
Centrodinium_punctatum	Gonyaulacales	HAB
Coolia_canariensis	Gonyaulacales	HAB
Coolia_malayensis	Gonyaulacales	HAB
Coolia_palmyrensis	Gonyaulacales	HAB
Coolia_tropicalis	Gonyaulacales	HAB
Fukuyoa_paulensis	Gonyaulacales	HAB
Fukuyoa_ruetzleri	Gonyaulacales	HAB
Fukuyoa_yasumotoi	Gonyaulacales	HAB
Gambierdiscus_australes	Gonyaulacales	HAB
Gambierdiscus_balechii	Gonyaulacales	HAB
Gambierdiscus_belizeanus	Gonyaulacales	HAB
Gambierdiscus_caribaeus	Gonyaulacales	HAB
Gambierdiscus_carolinianus	Gonyaulacales	HAB
Gambierdiscus_carpenteri	Gonyaulacales	HAB
Gambierdiscus_cheloniae	Gonyaulacales	HAB
Gambierdiscus_excentricus	Gonyaulacales	HAB
Gambierdiscus_holmesii	Gonyaulacales	HAB
Gambierdiscus_honu	Gonyaulacales	HAB
Gambierdiscus_lapillus	Gonyaulacales	HAB
Gambierdiscus_lewisii	Gonyaulacales	HAB
Gambierdiscus_pacificus	Gonyaulacales	HAB
Gambierdiscus_polynesiensis	Gonyaulacales	HAB
Gambierdiscus_scabrosus	Gonyaulacales	HAB
Gambierdiscus_silvae	Gonyaulacales	HAB
Gambierdiscus_toxicus	Gonyaulacales	HAB
Gonyaulax_bohaiensis	Gonyaulacales	HAB
Gonyaulax_spinifera	Gonyaulacales	HAB
Gonyaulax_taylorii	Gonyaulacales	HAB
Lingulaulax_polyedra	Gonyaulacales	HAB
Ostreopsis_fattorussoi	Gonyaulacales	HAB
Ostreopsis_heptagona	Gonyaulacales	HAB
Ostreopsis_mascarenensis	Gonyaulacales	HAB
Ostreopsis_ovata	Gonyaulacales	HAB
Ostreopsis_rhodesiae	Gonyaulacales	HAB
Ostreopsis_siamensis	Gonyaulacales	HAB
Protoceratium_reticulatum	Gonyaulacales	HAB
Pyrodinium_bahamense	Gonyaulacales	HAB
Akashiwo_sanguinea	Gymnodiniales	HAB
Gymnodinium_catenatum	Gymnodiniales	HAB
Karenia_bicuneiformis	Gymnodiniales	HAB
Karenia_brevis	Gymnodiniales	HAB
Karenia_brevisulcata	Gymnodiniales	HAB
Karenia_concordia	Gymnodiniales	HAB
Karenia_cristata	Gymnodiniales	HAB
Karenia_longicanalis	Gymnodiniales	HAB
Karenia_mikimotoi	Gymnodiniales	HAB
Karenia_papilionacea	Gymnodiniales	HAB
Karenia_selliformis	Gymnodiniales	HAB
Karlodinium_armiger	Gymnodiniales	HAB
Karlodinium_australe	Gymnodiniales	HAB
Karlodinium_conicum	Gymnodiniales	HAB
Karlodinium_corsicum	Gymnodiniales	HAB
Karlodinium_digitatum	Gymnodiniales	HAB
Karlodinium_gentienii	Gymnodiniales	HAB
Karlodinium_veneficum	Gymnodiniales	HAB
Margalefidinium_fulvescens	Gymnodiniales	HAB
Margalefidinium_polykrikoides	Gymnodiniales	HAB
Polykrikos_hartmannii	Gymnodiniales	HAB
Takayama_acrotrocha	Gymnodiniales	HAB
Takayama_cladochroma	Gymnodiniales	HAB
Heterocapsa_bohaiensis	Peridiniales	HAB
Heterocapsa_circularisquama	Peridiniales	HAB
Heterocapsa_ovata	Peridiniales	HAB
Vulcanodinium_rugosum	Peridiniales	HAB
Prorocentrum_borbonicum	Prorocentrales	HAB
Prorocentrum_caipirignum	Prorocentrales	HAB
Prorocentrum_cassubicum	Prorocentrales	HAB
Prorocentrum_concavum	Prorocentrales	HAB
Prorocentrum_cordatum	Prorocentrales	HAB
Prorocentrum_fukuyoi	Prorocentrales	HAB
Prorocentrum_hoffmannianum	Prorocentrales	HAB
Prorocentrum_leve	Prorocentrales	HAB
Prorocentrum_lima	Prorocentrales	HAB
Prorocentrum_mexicanum	Prorocentrales	HAB
Prorocentrum_porosum	Prorocentrales	HAB
Prorocentrum_rhathymum	Prorocentrales	HAB
Prorocentrum_steidingerae	Prorocentrales	HAB
Prorocentrum_texanum	Prorocentrales	HAB
Luciella_masanensis	Thoracosphaerales	HAB
Pfiesteria_piscicida	Thoracosphaerales	HAB
Pfiesteria_shumwayae	Thoracosphaerales	HAB
Amphidoma_languida	Amphidomataceae	HAB
Azadinium_dexteroporum	Amphidomataceae	HAB
Azadinium_poporum	Amphidomataceae	HAB
Azadinium_spinosum	Amphidomataceae	HAB
Prorocentrum_micans	Prorocentrales	greylist
Halamphora_coffeaeformis	Bacillariophyta	greylist
Aureococcus_anophagefferens	Pelagophyceae 	greylist
Aureoumbra_lagunensis	Pelagophyceae 	greylist
Cerataulina_pelagica	Bacillariophyta	non-toxigenic
Chaetoceros_concavicornis	Bacillariophyta	non-toxigenic
Chaetoceros_convolutus	Bacillariophyta	non-toxigenic
Chaetoceros_criophilus	Bacillariophyta	non-toxigenic
Chaetoceros_debilis	Bacillariophyta	non-toxigenic
Chaetoceros_gelidus	Bacillariophyta	non-toxigenic
Chaetoceros_tenuissimus	Bacillariophyta	non-toxigenic
Chaetoceros_wighamii	Bacillariophyta	non-toxigenic
Corethron	Bacillariophyta	non-toxigenic
Coscinodiscus_centralis	Bacillariophyta	non-toxigenic
Coscinodiscus_concinnus	Bacillariophyta	non-toxigenic
Coscinodiscus	Bacillariophyta	non-toxigenic
Eucampia_zodiacus	Bacillariophyta	non-toxigenic
Guinardia_striata	Bacillariophyta	non-toxigenic
Leptocylindrus_minimus	Bacillariophyta	non-toxigenic
Palmeria_hardmaniana	Bacillariophyta	non-toxigenic
Pseudohimantidium_pacificum	Bacillariophyta	non-toxigenic
Rhizosolenia_chunii	Bacillariophyta	non-toxigenic
Rhizosolenia	Bacillariophyta	non-toxigenic
Skeletonema	Bacillariophyta	non-toxigenic
Sundstroemia_setigera	Bacillariophyta	non-toxigenic
Thalassiosira_mala	Bacillariophyta	non-toxigenic
Thalassiosira_pseudonana	Bacillariophyta	non-toxigenic
Tetraselmis	Chlorophyta	non-toxigenic
Mesodinium_rubrum	Ciliates	non-toxigenic
Rhodomonas_marina	Cryptophyta	non-toxigenic
Octactis_speculum	Dictyochophyta	non-toxigenic
Pseudopedinella_pyriformis	Dictyochophyta	non-toxigenic
Blixaea_quinquecornis	Dinophyta	non-toxigenic
Gonyaulax_polygramma	Dinophyta	non-toxigenic
Gyrodinium_jinhaense	Dinophyta	non-toxigenic
Gyrodinium_spirale	Dinophyta	non-toxigenic
Heterocapsa_bohaiensis	Dinophyta	non-toxigenic
Kryptoperidinium_triquetrum	Dinophyta	non-toxigenic
Lepidodinium_chlorophorum	Dinophyta	non-toxigenic
Levanderina_fissa	Dinophyta	non-toxigenic
Noctiluca_scintillans	Dinophyta	non-toxigenic
Oxyrrhis_marina	Dinophyta	non-toxigenic
Prorocentrum_balticum	Dinophyta	non-toxigenic
Prorocentrum_dentatum	Dinophyta	non-toxigenic
Prorocentrum_micans	Dinophyta	non-toxigenic
Prorocentrum_obtusidens	Dinophyta	non-toxigenic
Prorocentrum_redfieldii	Dinophyta	non-toxigenic
Protoperidinium_depressum	Dinophyta	non-toxigenic
Pseudocochlodinium_profundisulcus	Dinophyta	non-toxigenic
Scrippsiella_acuminata	Dinophyta	non-toxigenic
Sourniaea_diacantha	Dinophyta	non-toxigenic
Tripos_dens	Dinophyta	non-toxigenic
Tripos_furca	Dinophyta	non-toxigenic
Tripos_fusus	Dinophyta	non-toxigenic
Tripos_karstenii	Dinophyta	non-toxigenic
Tripos_lineatus	Dinophyta	non-toxigenic
Tripos_muelleri	Dinophyta	non-toxigenic
Aureococcus_anophagefferens	Pelagophyceae	non-toxigenic
Aureoumbra_lagunensis	Pelagophyceae	non-toxigenic
Nitzschia_bizertensis	Bacillariophyta	HAB
Nitzschia_navis-varingica	Bacillariophyta	HAB
Pseudo-nitzschia_abrensis	Bacillariophyta	HAB
Pseudo-nitzschia_australis	Bacillariophyta	HAB
Pseudo-nitzschia_batesiana	Bacillariophyta	HAB
Pseudo-nitzschia_bipertita	Bacillariophyta	HAB
Pseudo-nitzschia_brasiliana	Bacillariophyta	HAB
Pseudo-nitzschia_caciantha	Bacillariophyta	HAB
Pseudo-nitzschia_calliantha	Bacillariophyta	HAB
Pseudo-nitzschia_cuspidata	Bacillariophyta	HAB
Pseudo-nitzschia_delicatissima	Bacillariophyta	HAB
Pseudo-nitzschia_fraudulenta	Bacillariophyta	HAB
Pseudo-nitzschia_fukuyoi	Bacillariophyta	HAB
Pseudo-nitzschia_galaxiae	Bacillariophyta	HAB
Pseudo-nitzschia_granii	Bacillariophyta	HAB
Pseudo-nitzschia_hasleana	Bacillariophyta	HAB
Pseudo-nitzschia_kodamae	Bacillariophyta	HAB
Pseudo-nitzschia_lundholmiae	Bacillariophyta	HAB
Pseudo-nitzschia_multiseries	Bacillariophyta	HAB
Pseudo-nitzschia_multistriata	Bacillariophyta	HAB
Pseudo-nitzschia_obtusa	Bacillariophyta	HAB
Pseudo-nitzschia_plurisecta	Bacillariophyta	HAB
Pseudo-nitzschia_pseudodelicatissima	Bacillariophyta	HAB
Pseudo-nitzschia_punctionis	Bacillariophyta	HAB
Pseudo-nitzschia_pungens	Bacillariophyta	HAB
Pseudo-nitzschia_seriata	Bacillariophyta	HAB
Pseudo-nitzschia_simulans	Bacillariophyta	HAB
Pseudo-nitzschia_subcurvata	Bacillariophyta	HAB
Pseudo-nitzschia_subfraudulenta	Bacillariophyta	HAB
Pseudo-nitzschia_subpacifica	Bacillariophyta	HAB
Pseudo-nitzschia_turgidula	Bacillariophyta	HAB
Amphidinium_carterae	Amphidiniales	HAB
Amphidinium_gibbosum	Amphidiniales	HAB
Amphidinium_magnum	Amphidiniales	HAB
Amphidinium_massartii	Amphidiniales	HAB
Amphidinium_pseudomassartii	Amphidiniales	HAB
Amphidinium_tomasii	Amphidiniales	HAB
Pseudochattonella_farcimen	Dictyochophyceae	HAB
Pseudochattonella_verruculosa	Dictyochophyceae	HAB
Vicicitus_globosus	Dictyochophyceae	HAB
Chrysochromulina_leadbeateri	Haptophyta	HAB
Phaeocystis_globosa	Haptophyta	HAB
Phaeocystis_pouchetii	Haptophyta	HAB
Prymnesium_calathiferum	Haptophyta	HAB
Prymnesium_faveolatum	Haptophyta	HAB
Prymnesium_parvum	Haptophyta	HAB
Prymnesium_polylepis	Haptophyta	HAB
Prymnesium_zebrinum	Haptophyta	HAB
Chattonella_malayana	Raphidophyceae	HAB
Chattonella_marina	Raphidophyceae	HAB
Chattonella_subsalsa	Raphidophyceae	HAB
Fibrocapsa_japonica	Raphidophyceae	HAB
Heterosigma_akashiwo	Raphidophyceae	HAB
