Species_Name	Taxonomic Group	MFT (MIXOPLANKTON FUNCTIONAL CLASSIFICATION)	can form colonies	HABs	MIXOPLANKTON SIZE	Mode of feeding	ability to use NO3 
Acanthochiasma	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Acanthometra_fusca	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acanthodesmia_vinculata	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Acanthometra_pellucida	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acanthometron	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acanthometron_pellucida	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acanthostaurus_conacanthus	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acanthostaurus_nordgaardi	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acanthostaurus_purpurascens	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Acrosphaera_murrayana	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Acrosphaera_spinosa	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Actinomma_boreale	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Akashiwo_sanguinea	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Alexandrium_andersonii	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Alexandrium_catenella	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Alexandrium_minutum	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Alexandrium_ostenfeldii	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Alexandrium_pacificum	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Alexandrium_pohangense	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Alexandrium_pseudogonyaulax	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Amphibelone_anomala	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Amphibelone_cultellata	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Amphibelone_heteracanthum	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Amphidiniella_sedentaria	Dinoflagellata	CM	no	not recorded	nano	not_recorded	yes
Amphidinium_carterae	Dinoflagellata	CM	no	yes	nano	not_recorded	yes
Amphidinium_scissum	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Amphidinium_steinii	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Amphilonche_elongata	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Amphisolenia_bidentata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Amphisolenia_brevicauda	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Amphisolenia_elongata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Amphisolenia_globifera	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Amphisolenia_inflata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Amphisolenia_laticincta	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Amphisolenia_palmata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
