Species_Name	Phylum	Class	Taxonomic group	Shape	Elongation	Size	Group	Trophism	MFT	Mode of feeding	ability to use NO3 	Harmful
Achnanthes	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Akashiwo_sanguinea	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	mixotroph	CM	engulfment	yes	HAB
Amphidinium_carterae	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	mixotroph	CM	not recorded	yes	HAB
Amphidinium	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-ML-5	autotroph	autotroph	autotroph	autotroph	no_harmful
Amphiprora	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Amphisolenia_bidentata	Dinophyta	Dinophyceae	Dinoflagellates	Cylinder	Elongated	length>100	DN-XL-12E	mixotroph	eSNCM	not recorded	not recorded	no_harmful
Amphora	Ochrophyta	Bacillariophyceae	Diatoms	Cymbelloid	Elongated	20<length<100	D-L-14E	autotroph	autotroph	autotroph	autotroph	no_harmful
Ankistrodesmus	Chlorophyta	Chlorophyceae	Others	Cylinder	No	20<length<100	O-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Astasia	Euglenophyta	Euglenophyceae	Others	Half sphere_ellipsoid_cone	No	10<length<20	O-M-19	autotroph	autotroph	autotroph	autotroph	no_harmful
Asterionella_formosa	Ochrophyta	Bacillariophyceae	Diatoms	Parallelepiped	Elongated	20<length<100	D-L-7E	autotroph	autotroph	autotroph	autotroph	no_harmful
Asterionellopsis_glacialis	Ochrophyta	Bacillariophyceae	Diatoms	Prism triangular base	Elongated	20<length<100	D-L-9E	autotroph	autotroph	autotroph	autotroph	no_harmful
Asteromphalus_flabellatus	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	20<length<100	D-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Attheya_longicornis	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Attheya	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Auliscus_sculptus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacillaria_paxillifera	Ochrophyta	Bacillariophyceae	Diatoms	Parallelepiped	Elongated	length>100	D-XL-7E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacillaria	Ochrophyta	Bacillariophyceae	Diatoms	Parallelepiped	Elongated	20<length>100	D-LXL-7E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacteriastrum_elongatum	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacteriastrum_comosum	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacteriastrum_delicatulum	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	10<length<20	D-M-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacteriastrum_furcatum	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	10<length<20	D-M-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacteriastrum_hyalinum	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	10>length	D-S-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bacteriastrum	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	10>length<100	D-SML-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Bellerochea_horologicalis	Ochrophyta	Mediophyceae	Diatoms	Prism triangular base	No	20<length<100	D-L-9	autotroph	autotroph	autotroph	autotroph	no_harmful
Bellerochea	Ochrophyta	Mediophyceae	Diatoms	Prism triangular base	No	20<length<100	D-L-9	autotroph	autotroph	autotroph	autotroph	no_harmful
Biddulphia_biddulphiana	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	length>100	D-XL-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Biddulphia_sinensis	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	length>100	D-XL-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Biddulphia	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length>100	D-LXL-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Bleakeleya_notata	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	length>100	D-XL-10CE	autotroph	autotroph	autotroph	autotroph	no_harmful
Blixaea_quinquecornis	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	20<length<100	DN-L-17	mixotroph	eSNCM	not recorded	not recorded	no_harmful
Boekelovia	Ochrophyta	Chrysophyceae	Others	Cone	No	10>length	O-S-1	autotroph	autotroph	autotroph	autotroph	no_harmful
Campylodiscus_biangulatus	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Campylodiscus	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Carteria	Chlorophyta	Chlorophyceae	Others	Sphere	No	10<length<20	O-M-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Cerataulina_pelagica	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	HAB_non-toxigenic
Cerataulina	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Ceratocorys_horrida	Dinophyta	Dinophyceae	Dinoflagellates	Half sphere	No	20<length<100	DN-L-6	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_affinis	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
